trip_id,arrival_time,departure_time,stop_id,stop_sequence
1430e,14:30:00,14:30:00,S06,1
1430e,15:15:00,15:15:00,S09,2
1445e,14:45:00,14:45:00,S06,1
1445e,15:30:00,15:30:00,S09,2
1500e,15:00:00,15:00:00,S06,1
1500e,15:45:00,15:45:00,S09,2
1515e,15:15:00,15:15:00,S06,1
1515e,16:00:00,16:00:00,S09,2
1530e,15:30:00,15:30:00,S06,1
1530e,16:15:00,16:15:00,S09,2
1545e,15:45:00,15:45:00,S06,1
1545e,16:30:00,16:30:00,S09,2
1600e,16:00:00,16:00:00,S06,1
1600e,16:45:00,16:45:00,S09,2
1615e,16:15:00,16:15:00,S06,1
1615e,17:00:00,17:00:00,S09,2
1630e,16:30:00,16:30:00,S06,1
1630e,17:15:00,17:15:00,S09,2
1645e,16:45:00,16:45:00,S06,1
1645e,17:30:00,17:30:00,S09,2
1700e,17:00:00,17:00:00,S06,1
1700e,17:45:00,17:45:00,S09,2
1715e,17:15:00,17:15:00,S06,1
1715e,18:00:00,18:00:00,S09,2
1730e,17:30:00,17:30:00,S06,1
1730e,18:15:00,18:15:00,S09,2
1745e,17:45:00,17:45:00,S06,1
1745e,18:30:00,18:30:00,S09,2
1800e,18:00:00,18:00:00,S06,1
1800e,18:45:00,18:45:00,S09,2
1815e,18:15:00,18:15:00,S06,1
1815e,19:00:00,19:00:00,S09,2
1830e,18:30:00,18:30:00,S06,1
1830e,19:15:00,19:15:00,S09,2
1845e,18:45:00,18:45:00,S06,1
1845e,19:30:00,19:30:00,S09,2
1900e,19:00:00,19:00:00,S06,1
1900e,19:45:00,19:45:00,S09,2
1915e,19:15:00,19:15:00,S06,1
1915e,20:00:00,20:00:00,S09,2
1930e,19:30:00,19:30:00,S06,1
1930e,20:15:00,20:15:00,S09,2
1945e,19:45:00,19:45:00,S06,1
1945e,20:30:00,20:30:00,S09,2
2000e,20:00:00,20:00:00,S06,1
2000e,20:45:00,20:45:00,S09,2
2015e,20:15:00,20:15:00,S06,1
2015e,21:00:00,21:00:00,S09,2
2030e,20:30:00,20:30:00,S06,1
2030e,21:15:00,21:15:00,S09,2
2045e,20:45:00,20:45:00,S06,1
2045e,21:30:00,21:30:00,S09,2
2100e,21:00:00,21:00:00,S06,1
2100e,21:45:00,21:45:00,S09,2
2115e,21:15:00,21:15:00,S06,1
2115e,22:00:00,22:00:00,S09,2
2130e,21:30:00,21:30:00,S06,1
2130e,22:15:00,22:15:00,S09,2
2145e,21:45:00,21:45:00,S06,1
2145e,22:30:00,22:30:00,S09,2
2200e,22:00:00,22:00:00,S06,1
2200e,22:45:00,22:45:00,S09,2
2215e,22:15:00,22:15:00,S06,1
2215e,23:00:00,23:00:00,S09,2
2230e,22:30:00,22:30:00,S06,1
2230e,23:15:00,23:15:00,S09,2
2245e,22:45:00,22:45:00,S06,1
2245e,23:30:00,23:30:00,S09,2
2300e,23:00:00,23:00:00,S06,1
2300e,23:45:00,23:45:00,S09,2
2315e,23:15:00,23:15:00,S06,1
2315e,0:00:00,0:00:00,S09,2
2330e,23:30:00,23:30:00,S06,1
2330e,0:15:00,0:15:00,S09,2
2345e,23:45:00,23:45:00,S06,1
2345e,0:30:00,0:30:00,S09,2
0000w,0:00:00,0:00:00,S09,1
0000w,0:45:00,0:45:00,S09,2
0030w,0:30:00,0:30:00,S09,1
0030w,1:15:00,1:15:00,S06,2
0100w,1:00:00,1:00:00,S09,1
0100w,1:45:00,1:45:00,S06,2
0130w,1:30:00,1:30:00,S09,1
0130w,2:15:00,2:15:00,S06,2
0200w,2:00:00,2:00:00,S09,1
0200w,2:45:00,2:45:00,S06,2
0230w,2:30:00,2:30:00,S09,1
0230w,3:15:00,3:15:00,S06,2
0300w,3:00:00,3:00:00,S09,1
0300w,3:45:00,3:45:00,S06,2
0330w,3:30:00,3:30:00,S09,1
0330w,4:15:00,4:15:00,S06,2
0400w,4:00:00,4:00:00,S09,1
0400w,4:45:00,4:45:00,S06,2
0430w,4:30:00,4:30:00,S09,1
0430w,5:15:00,5:15:00,S06,2
0500w,5:00:00,5:00:00,S09,1
0500w,5:45:00,5:45:00,S06,2
0530w,5:30:00,5:30:00,S09,1
0530w,6:15:00,6:15:00,S06,2
0600w,6:00:00,6:00:00,S09,1
0600w,6:45:00,6:45:00,S06,2
0615w,6:15:00,6:15:00,S09,1
0615w,7:00:00,7:00:00,S06,2
0630w,6:30:00,6:30:00,S09,1
0630w,7:15:00,7:15:00,S06,2
0645w,6:45:00,6:45:00,S09,1
0645w,7:30:00,7:30:00,S06,2
0600w,7:00:00,7:00:00,S09,1
0600w,7:45:00,7:45:00,S06,2
0715w,7:15:00,7:15:00,S09,1
0715w,8:00:00,8:00:00,S06,2
0730w,7:30:00,7:30:00,S09,1
0730w,8:15:00,8:15:00,S06,2
0745w,7:45:00,7:45:00,S09,1
0745w,8:30:00,8:30:00,S06,2
0800w,8:00:00,8:00:00,S09,1
0800w,8:45:00,8:45:00,S06,2
0815w,8:15:00,8:15:00,S09,1
0815w,9:00:00,9:00:00,S06,2
0830w,8:30:00,8:30:00,S09,1
0830w,9:15:00,9:15:00,S06,2
0845w,8:45:00,8:45:00,S09,1
0845w,9:30:00,9:30:00,S06,2
0900w,9:00:00,9:00:00,S09,1
0900w,9:45:00,9:45:00,S06,2
0915w,9:15:00,9:15:00,S09,1
0915w,10:00:00,10:00:00,S06,2
0930w,9:30:00,9:30:00,S09,1
0930w,10:15:00,10:15:00,S06,2
0945w,9:45:00,9:45:00,S09,1
0945w,10:30:00,10:30:00,S06,2
1000w,10:00:00,10:00:00,S09,1
1000w,10:45:00,10:45:00,S06,2
1015w,10:15:00,10:15:00,S09,1
1015w,11:00:00,11:00:00,S06,2
1030w,10:30:00,10:30:00,S09,1
1030w,11:15:00,11:15:00,S06,2
1045w,10:45:00,10:45:00,S09,1
1045w,11:30:00,11:30:00,S06,2
1100w,11:00:00,11:00:00,S09,1
1100w,11:45:00,11:45:00,S06,2
1115w,11:15:00,11:15:00,S09,1
1115w,12:00:00,12:00:00,S06,2
1130w,11:30:00,11:30:00,S09,1
1130w,12:15:00,12:15:00,S06,2
1145w,11:45:00,11:45:00,S09,1
1145w,12:30:00,12:30:00,S06,2
1200w,12:00:00,12:00:00,S09,1
1200w,12:45:00,12:45:00,S06,2
1215w,12:15:00,12:15:00,S09,1
1215w,13:00:00,13:00:00,S06,2
1230w,12:30:00,12:30:00,S09,1
1230w,13:15:00,13:15:00,S06,2
1245w,12:45:00,12:45:00,S09,1
1245w,13:30:00,13:30:00,S06,2
1300w,13:00:00,13:00:00,S09,1
1300w,13:45:00,13:45:00,S06,2
1315w,13:15:00,13:15:00,S09,1
1315w,14:00:00,14:00:00,S06,2
1330w,13:30:00,13:30:00,S09,1
1330w,14:15:00,14:15:00,S06,2
1345w,13:45:00,13:45:00,S09,1
1345w,14:30:00,14:30:00,S06,2
1400w,14:00:00,14:00:00,S09,1
1400w,14:45:00,14:45:00,S06,2
1415w,14:15:00,14:15:00,S09,1
1415w,15:00:00,15:00:00,S06,2
1430w,14:30:00,14:30:00,S09,1
1430w,15:15:00,15:15:00,S06,2
1445w,14:45:00,14:45:00,S09,1
1445w,15:30:00,15:30:00,S06,2
1500w,15:00:00,15:00:00,S09,1
1500w,15:45:00,15:45:00,S06,2
1515w,15:15:00,15:15:00,S09,1
1515w,16:00:00,16:00:00,S06,2
1530w,15:30:00,15:30:00,S09,1
1530w,16:15:00,16:15:00,S06,2
1545w,15:45:00,15:45:00,S09,1
1545w,16:30:00,16:30:00,S06,2
1600w,16:00:00,16:00:00,S09,1
1600w,16:45:00,16:45:00,S06,2
1615w,16:15:00,16:15:00,S09,1
1615w,17:00:00,17:00:00,S06,2
1630w,16:30:00,16:30:00,S09,1
1630w,17:15:00,17:15:00,S06,2
1645w,16:45:00,16:45:00,S09,1
1645w,17:30:00,17:30:00,S06,2
1700w,17:00:00,17:00:00,S09,1
1700w,17:45:00,17:45:00,S06,2
1715w,17:15:00,17:15:00,S09,1
1715w,18:00:00,18:00:00,S06,2
1730w,17:30:00,17:30:00,S09,1
1730w,18:15:00,18:15:00,S06,2
1745w,17:45:00,17:45:00,S09,1
1745w,18:30:00,18:30:00,S06,2
1800w,18:00:00,18:00:00,S09,1
1800w,18:45:00,18:45:00,S06,2
1815w,18:15:00,18:15:00,S09,1
1815w,19:00:00,19:00:00,S06,2
1830w,18:30:00,18:30:00,S09,1
1830w,19:15:00,19:15:00,S06,2
1845w,18:45:00,18:45:00,S09,1
1845w,19:30:00,19:30:00,S06,2
1900w,19:00:00,19:00:00,S09,1
1900w,19:45:00,19:45:00,S06,2
1915w,19:15:00,19:15:00,S09,1
1915w,20:00:00,20:00:00,S06,2
1930w,19:30:00,19:30:00,S09,1
1930w,20:15:00,20:15:00,S06,2
1945w,19:45:00,19:45:00,S09,1
1945w,20:30:00,20:30:00,S06,2
2000w,20:00:00,20:00:00,S09,1
2000w,20:45:00,20:45:00,S06,2
2015w,20:15:00,20:15:00,S09,1
2015w,21:00:00,21:00:00,S06,2
2030w,20:30:00,20:30:00,S09,1
2030w,21:15:00,21:15:00,S06,2
2045w,20:45:00,20:45:00,S09,1
2045w,21:30:00,21:30:00,S06,2
2100w,21:00:00,21:00:00,S09,1
2100w,21:45:00,21:45:00,S06,2
2115w,21:15:00,21:15:00,S09,1
2115w,22:00:00,22:00:00,S06,2
2130w,21:30:00,21:30:00,S09,1
2130w,22:15:00,22:15:00,S06,2
2145w,21:45:00,21:45:00,S09,1
2145w,22:30:00,22:30:00,S06,2
2200w,22:00:00,22:00:00,S09,1
2200w,22:45:00,22:45:00,S06,2
2215w,22:15:00,22:15:00,S09,1
2215w,23:00:00,23:00:00,S06,2
2230w,22:30:00,22:30:00,S09,1
2230w,23:15:00,23:15:00,S06,2
2245w,22:45:00,22:45:00,S09,1
2245w,23:30:00,23:30:00,S06,2
2300w,23:00:00,23:00:00,S09,1
2300w,23:45:00,23:45:00,S06,2
2315w,23:15:00,23:15:00,S09,1
2315w,24:00:00,0:00:00,S06,2
2330w,23:30:00,23:30:00,S09,1
2330w,24:15:00,0:15:00,S06,2
2345w,23:45:00,23:45:00,S09,1
2345w,24:30:00,0:30:00,S06,2
